,Document,Topic,handle,color,date,tweet,topic_name,member,party
2144,RepKatCammack ✅ economy strong ✅ nation safe ✅ future build freedom ✅ government accountable…,6,GOPLeader,red,2022-09-22,"RT @RepKatCammack: ✅ An economy that’s strong 
✅ A nation that’s safe 
✅ A future that’s built on freedom
✅ A government that’s accountable…",CommitmentToAmerica,Kevin McCarthy,Republican
2147,Happy VeteransDay brave men women lay line defend greatest nation earth owe unending debt gratitude unwavering courage sacrifice commitment defend freedoms liberties 🇺🇸,9,RepLeeZeldin,red,2022-11-11,"Happy #VeteransDay to all the brave men and women who have laid it all on the line to defend the greatest nation on earth. We owe you an unending debt of gratitude for your unwavering courage, sacrifice, and commitment to defending our freedoms and liberties. 🇺🇸 https://t.co/6iCGEg4X1L",MemorialDay,Lee Zeldin,Republican
2148,Happy 247th birthday proud heroic USMC SemperFi,12,RepLeeZeldin,red,2022-11-10,"Happy 247th birthday to the few, the proud, the heroic @USMC! #SemperFi https://t.co/l8zN3Lh23f",Congratulations,Lee Zeldin,Republican
2164,Mass cancellation student debt feel good slap face people sacrifice pay loan work college go less expensive school skip college altogether Magically cancel loan bad far leave policy flat wrong,1,RepLeeZeldin,red,2022-08-23,"Mass cancellation of student debt feels good to some, but it’s a slap in the face to people who sacrificed to pay loans, worked through college, went to a less expensive school or skipped college altogether. Magically canceling loans is bad, far left policy &amp; just flat out wrong.",Student Debt,Lee Zeldin,Republican
2189,None us would opportunity gift live live greatest nation history world courageous men women answer call serve defense freedom liberties pay ultimate sacrifice MemorialDay 🇺🇸,9,RepLeeZeldin,red,2022-05-30,"None of us would have this opportunity and gift to live our lives in the greatest nation in the history of the world if not for courageous men and women who answered the call to serve in defense of our freedom and liberties, and paid the ultimate sacrifice. #MemorialDay 🇺🇸",MemorialDay,Lee Zeldin,Republican
2192,Today recognize bravery commitment men women Armed Forces thank service defense greatest nation history world ArmedForcesDay,9,RepLeeZeldin,red,2022-05-21,"Today, we recognize the bravery and commitment of our men and women in the Armed Forces and thank them for their service in defense of the greatest nation in the history of the world. #ArmedForcesDay https://t.co/mXOWf4I7DR",MemorialDay,Lee Zeldin,Republican
2227,Ukrainians fight incredible honor courage defend freedom nation Putin terrorism illegal invasion StandWithUkraine 🙏🇺🇦,4,RepLeeZeldin,red,2022-02-26,"Ukrainians are fighting with incredible honor and courage to defend their freedom and their nation from Putin’s terrorism and illegal invasion. #StandWithUkraine 🙏🇺🇦 
https://t.co/IxyR6b8IKm",Russo-Ukrainian War,Lee Zeldin,Republican
2228,man Ukraine President Volodymyr Zelenskyy instantly emerge eye one history best courageous leaders world,4,RepLeeZeldin,red,2022-02-26,"This man, Ukraine President Volodymyr Zelenskyy, is instantly emerging before our eyes as one of history’s best and most courageous leaders in the world. https://t.co/6Ix7qmmHCV",Russo-Ukrainian War,Lee Zeldin,Republican
2253,Today every day extend sincere continue appreciation nation veterans Happy Veteran Day 🇺🇸,9,SenRubioPress,red,2022-11-11,"Today and every day, we extend our sincere and continuing appreciation to our nation's veterans. Happy Veteran's Day 🇺🇸 https://t.co/Y3GeEY7CFe",MemorialDay,Marco Rubio,Republican
2254,Happy 247th birthday USMC Senator Rubio fellow Americans send appreciation thank valiant Marines service SemperFidelis,12,SenRubioPress,red,2022-11-10,Happy 247th birthday to @USMC! Senator Rubio and our fellow Americans send their appreciation and thanks to our valiant Marines for their service. #SemperFidelis https://t.co/SZgCVgLfhl,Congratulations,Marco Rubio,Republican
2260,Happy 247th Birthday USNavy Thanks service home around world U.S. continue strong maritime power 🇺🇸,12,SenRubioPress,red,2022-10-13,"Happy 247th Birthday, @USNavy! Thanks to your service at home and around the world, the U.S. continues to be a strong maritime power. 🇺🇸 https://t.co/lYlxncqv0h",Congratulations,Marco Rubio,Republican
2314,force Ukraine deal claim victory Putin need battlefield momentum danger economic diplomatic card play conventional force stall cyber chemical biological non-strategic nuke escalation options,4,marcorubio,red,2022-03-25,"To force #Ukraine into deal he can claim as a victory #Putin needs battlefield momentum

The danger now is that he has no economic or diplomatic cards to play,his conventional forces are stalled &amp; cyber,chemical,biological &amp; non-strategic nukes are his only escalation options",Russo-Ukrainian War,Marco Rubio,Republican
2316,daily reminder Putin new strategy 1 First gain negotiate leverage create battlefield advantage degrade Ukraine military 2 offer “ deal ” Ukraine demilitarize Become “ neutral state ” Surrenders Donbas much south,4,marcorubio,red,2022-03-23,"My daily reminder of #Putin’s new strategy:

1. First, gain negotiating leverage by creating a battlefield advantage &amp; degrading #Ukraine’s military

2. Then offer “deal” if Ukraine:
- demilitarizes
- Become a “neutral state”
- Surrenders Donbas &amp; much of south",Russo-Ukrainian War,Marco Rubio,Republican
2317,Overall Russia continue strategy =trying isolate use firepower advantage key cities give troop time refit resupply rest =using stand-off strike try weaken Kyiv defenses =preparing try make advance Donbas,4,marcorubio,red,2022-03-23,"Overall #Russia’s continues with the same strategy:

=trying to isolate &amp; use firepower advantage against key cities while giving troops time to refit,resupply &amp; rest

=using stand-off strikes to try &amp; weaken #Kyiv’s defenses

=preparing to try again to make advances in Donbas",Russo-Ukrainian War,Marco Rubio,Republican
2318,Putin goal Ukraine 1.Establish leverage capture coast encircle 6 key cities 2.Degrade Ukraine defense industry military 3.Then offer “ cease fire ” Ukraine Demilitarizes Puts neutrality constitution Forfeits Donbas Crimea,4,marcorubio,red,2022-03-22,"#Putin’s goal in #Ukraine now is:
1.Establish leverage by capturing coast &amp; encircling 6 key cities 
2.Degrade Ukraine’s defense industry &amp; military
3.Then offer to “cease fire” if Ukraine:
- Demilitarizes
- Puts neutrality in constitution;&amp;
- Forfeits Donbas &amp; Crimea",Russo-Ukrainian War,Marco Rubio,Republican
2319,say 10 days Putin plan longer take Ukraine plan annex coastal south lay siege Kyiv 5 cities North degrade Ukraines military factories offer cease fire term claim strategic victory,4,marcorubio,red,2022-03-21,"As I have been saying now for 10 days the #Putin plan is no longer to take over most of #Ukraine

The plan is to annex coastal south,lay siege to #Kyiv &amp; 5 cities in North,degrade Ukraines military &amp; factories &amp; then offer cease fire on terms he will claim are a strategic victory",Russo-Ukrainian War,Marco Rubio,Republican
2320,focus everything help Ukraine defeat Putin,4,marcorubio,red,2022-03-17,Now our focus should be to do everything we can to help #Ukraine defeat #Putin https://t.co/OwYurdGfYW,Russo-Ukrainian War,Marco Rubio,Republican
2321,Putin go take L Ukraine strategic loss certain even operational loss possible,4,marcorubio,red,2022-03-17,"#Putin is going to take an L in #Ukraine 

A strategic loss is certain and even an operational loss is possible",Russo-Ukrainian War,Marco Rubio,Republican
2322,If/when Putin conclude remove Zelenskyi seek clear battlefield dominance barbaric escalation try force Ukraine =surrender land yellow =adopt neutrality constitution =demilitarize =install Russian puppet high government post,4,marcorubio,red,2022-03-16,"If/when Putin concludes he can’t remove Zelenskyi he will seek clear battlefield dominance through barbaric escalation &amp; then 
try to force Ukraine to:

=surrender land (yellow)

=adopt neutrality in constitution

=demilitarize

=install Russian puppet in a high government post https://t.co/O0PTRSVWTk",Russo-Ukrainian War,Marco Rubio,Republican
2323,Russia try 1 Gain control territory want annex future cease fire “ deal ” Red 2 Gain control key rout Kyiv MO1 Yellow connect Chernihiv MO5 Blue primary resupply route 3 Target Ukraine defense industry sit,4,marcorubio,red,2022-03-16,"#Russia trying to:

1. Gain control of territory they want to annex in any future cease fire “deal”(Red)

2. Gain control of key routes into #Kyiv
- MO1(Yellow) connecting from #Chernihiv
- MO5(Blue) which is primary resupply route

3. Target #Ukraine defense industry sites https://t.co/OyYxNRq95w",Russo-Ukrainian War,Marco Rubio,Republican
2324,Putin still want capture Kyiv install puppet govt realize feasible 1 Focus destroy much DefenceU possible 2 offer cease fire impose neutrality Ukraine recognize Crimea Donbas part Russia,4,marcorubio,red,2022-03-15,"#Putin still wants to capture #Kyiv &amp; install a puppet govt

But when he realizes that’s not feasible he will:

1. Focus on destroying as much of @DefenceU as possible 

2. Then offer cease fire that imposes neutrality on #Ukraine &amp; recognizes #Crimea &amp; #Donbas as part of #Russia",Russo-Ukrainian War,Marco Rubio,Republican
2325,New Russia strategy preview last week full effect control coastal cities isolate cities north target artillery missiles heavy bombers disrupt supply West degrade Ukraine military point propose cease fire Putin term,4,marcorubio,red,2022-03-15,"New #Russia strategy I previewed last week now in full effect
- control coastal cities
- isolate cities in north &amp; target with artillery,missiles &amp; heavy    bombers
- disrupt supplies from West
- degrade #Ukraine military 
- then at some point propose cease fire on #Putin’s terms",Russo-Ukrainian War,Marco Rubio,Republican
2326,Russia refit force move aggressively next days south Ukraine right neither manpower troop morale take Kyiv many areas north,4,marcorubio,red,2022-03-15,"#Russia has refitted forces and will move aggressively over the next few days in the south of #Ukraine 

But right now they have neither the manpower nor the troop morale to take #Kyiv or many other areas in the north",Russo-Ukrainian War,Marco Rubio,Republican
2327,See new Putin strategy outline 3 days ago Part new strategy isolate various cities include Mykolayiv force local officials surrender cooperate face annihilation,4,marcorubio,red,2022-03-12,"See below the new #Putin strategy I outlined 3 days ago 

Part of the new strategy to is isolate various cities,including #Mykolayiv &amp; force local officials to surrender &amp; cooperate or face annihilation https://t.co/v0UjQIc6yo",Russo-Ukrainian War,Marco Rubio,Republican
2328,warn 4 days ago Putin would soon start target supply convoy Ukraine Russia openly threaten hope Biden make clear Putin harm single American soldier would worst decision ever make,4,marcorubio,red,2022-03-12,"I warned 4 days ago #Putin would soon start targeting supply convoys to #Ukraine 

Now #Russia is openly threatening to do so

I hope Biden is making it clear to #Putin that harming a single American soldier would be the worst decision he has ever made

https://t.co/9JCxdPdtU1 https://t.co/WberbeVn9Q",Russo-Ukrainian War,Marco Rubio,Republican
2329,Heavy attack right Kyiv new Putin strategy isolate several cities unleash constant artillery rocket attack -cut supply West -degrade Ukraine military feel establish leverage offer term cease fire,4,marcorubio,red,2022-03-12,"Heavy attacks right now on #Kyiv 

The new #Putin strategy:

- isolate several cities &amp; unleash constant artillery &amp; rocket attack

-cut off supplies from the West

-degrade #Ukraine’s military

Then once he feels he has established leverage offer his terms for a cease fire",Russo-Ukrainian War,Marco Rubio,Republican
2330,Today Russia conduct missiles strike airfields Western Ukraine prevent use resupply flight stag new jet mention 2 days ago phase bring attack closer NATO One strike 70 miles Polish border,4,marcorubio,red,2022-03-11,"Today #Russia conducted missiles strikes on airfields in Western #Ukraine to prevent them from being used for resupply flights or staging new jets 

As I mentioned 2 days ago this phase brings attacks closer to NATO 

One of the strikes was just 70 miles from the Polish border",Russo-Ukrainian War,Marco Rubio,Republican
2331,Putin appear abandon initial plan instal puppet leaders Ukraine New plan appear encircle pound Kyiv Chernihiv Kharkiv Mylolayiv Zaporizhzhya -seize Mariupol Odessa -wear Ukraine military -then dictate term end war,4,marcorubio,red,2022-03-11,"#Putin appears to have abandoned initial plan of installing puppet leaders in #Ukraine

New plan appears to be:
- encircle &amp; pound on #Kyiv #Chernihiv #Kharkiv #Mylolayiv &amp; #Zaporizhzhya
-seize #Mariupol &amp; #Odessa
-wear down Ukraine’s military
-then dictate terms for ending war",Russo-Ukrainian War,Marco Rubio,Republican
2337,Latest map show Russia adjust strategic goals 1 Expand encirclement Kyiv W N E 2 Stage offensive Odessa 3 Seize Mariupol 4 Convince local officials Chernihiv Kharkiv Mykolayiv Zaporizhia either surrender cities face annihilation,4,marcorubio,red,2022-03-09,"Latest map shows #Russia’s adjusted strategic goals:

1. Expand encirclement of #Kyiv from W,N &amp; E

2. Stage for offensive on Odessa

3. Seize Mariupol 

4. Convince local officials in Chernihiv,Kharkiv,Mykolayiv &amp; Zaporizhia to either surrender these cities or face annihilation https://t.co/lTHJzqzU1A",Russo-Ukrainian War,Marco Rubio,Republican
2338,Russia make costly progress effort mass troop North West East Kyiv destroy supply rout city SW access resupply remain largely uncontested south,4,marcorubio,red,2022-03-09,"#Russia is making costly progress in their effort to mass troops to the North,West &amp; East of #Kyiv &amp; have destroyed supply routes to the city from the SW

But access &amp; resupply remains largely uncontested from the south",Russo-Ukrainian War,Marco Rubio,Republican
2340,Putin get veto decisions must help Ukraine defend barbaric invasion must never allow lose sight fact war NATO Russia produce horrific moment human history,4,marcorubio,red,2022-03-09,"#Putin doesn’t get a veto over our decisions

And we must help #Ukraine defend itself from a barbaric invasion

But we must never allow ourselves to lose sight of the fact that a war between NATO &amp; #Russia will produce the most horrific moment in human history",Russo-Ukrainian War,Marco Rubio,Republican
2341,Putin believe destiny restore Russia great power believe great power without Ukraine invasion way achieve expect little resistance quick victory realize trouble see back,4,marcorubio,red,2022-03-08,"#Putin believes his destiny is to restore #Russia as a great power

He believes they can’t be a great power without #Ukraine &amp; invasion was the only way to achieve it

He expected little resistance &amp; quick victory

And now he realizes he’s in trouble if he is seen as backing down",Russo-Ukrainian War,Marco Rubio,Republican
2342,areas Ukraine Russia “ control ” military units need reinforcement face hostile population constant ambush long supply line increasingly force pick new advance hold areas “ control ”,4,marcorubio,red,2022-03-08,"In the areas of #Ukraine that #Russia now “controls” their military units are in need of reinforcement &amp; they face a hostile population &amp; constant ambushes of long supply lines 

This is increasingly forcing them to pick between new advances &amp; holding on to areas they “control” https://t.co/o3AfXLj63p",Russo-Ukrainian War,Marco Rubio,Republican
2343,Ukraine complicate unpredictable crisis Putin face either costly military victory occupation quagmire economy fall discontent rise invasion end humiliation perception back remove power,4,marcorubio,red,2022-03-08,"#Ukraine is a complicated &amp; unpredictable crisis

#Putin is facing either a costly military victory &amp; occupation or a quagmire

His economy is falling  &amp; discontent is rising

And if this invasion ends in humiliation or the perception he backed down he will be removed from power",Russo-Ukrainian War,Marco Rubio,Republican
2344,war Russia plan Putin envision air dominance first 24 hrs take Kyiv 72hrs instal puppet govt within week Instead quagmire best possible outcome costly victory long military occupation battle insurgents,4,marcorubio,red,2022-03-08,"This isn’t the war #Russia planned for

#Putin envisioned air dominance in first 24 hrs,taking #Kyiv in 72hrs &amp; installing a puppet govt within a week

Instead he is in a quagmire &amp; his best possible outcome now is a costly victory &amp; a long military occupation battling insurgents",Russo-Ukrainian War,Marco Rubio,Republican
2346,Putin long history terrorize local populations break spirit resist see Russia bomb civilian areas take advantage ceasefires use snipers kill flee innocents,4,marcorubio,red,2022-03-07,"#Putin has a long history of terrorizing local populations to break their spirit &amp; will to resist

That is why you see #Russia bombing civilian areas &amp; taking advantage of ceasefires to use snipers to kill fleeing innocents",Russo-Ukrainian War,Marco Rubio,Republican
2347,STATUS REPORT day 11 Putin criminal invasion Ukraine -troops stick run supply NE N Kyiv -they keep lose tank plan helo soldier -economy free fall -country international pariah state -using “ ceasefires ” kill civilians,4,marcorubio,red,2022-03-07,"STATUS REPORT 
Now on day 11 of #Putin’s criminal invasion of #Ukraine:

-troops stuck &amp; running out of supplies NE &amp; N of #Kyiv

-they keep losing tanks,planes,helo’s &amp; soldiers

-economy in free fall

-country an international pariah state

-using “ceasefires”to kill civilians",Russo-Ukrainian War,Marco Rubio,Republican
2348,10 days Russia invasion Ukraine one thing obvious see Putin never able successfully occupy govern country long Russians face bomb snipers death,4,marcorubio,red,2022-03-07,"10 days into #Russia’s invasion of #Ukraine one thing is obvious for all to see, #Putin will never be able to successfully occupy &amp; govern the country 

As long as Russians are there, they will face bombs, snipers and death",Russo-Ukrainian War,Marco Rubio,Republican
2349,IMPORTANT WARNING 2018 Putin use propaganda war blame rebel Assad chemical weapons attack High probability could carry real stag biological/chemical attack Ukraine blame NATO Ukrainian force,4,marcorubio,red,2022-03-03,"IMPORTANT WARNING 
In 2018 #Putin used propaganda war to blame rebels for Assad’s chemical weapons attacks 

High probability he could carry out real or staged biological/chemical attacks in #Ukraine &amp; blame it on NATO or Ukrainian forces https://t.co/2NJVHh3BYx",Russo-Ukrainian War,Marco Rubio,Republican
2350,Putin face -either costly military victory/occupation quagmire -increasing domestic unrest full scale war economic meltdown respond horrify escalation Ukraine /or create new crisis Stalinist restrictions Russia,4,marcorubio,red,2022-03-03,"#Putin faces:
 
-either a costly military victory/occupation or a quagmire 

-increasing domestic unrest over a full scale war &amp; economic meltdown

He will respond with:

- a horrifying escalation in #Ukraine; &amp;/or

- creating a new crisis;and

- Stalinist restrictions in #Russia",Russo-Ukrainian War,Marco Rubio,Republican
2352,Russia economy collapse head either costly military victory occupation long military quagmire point Putin need reestablish leverage West escalation options available dangerous,4,marcorubio,red,2022-03-03,"#Russia’s economy is collapsing

And they are headed for either a costly military victory &amp; occupation or a long military quagmire

At some point #Putin will need to reestablish leverage against the West &amp; the only escalation options he has available to him are very dangerous https://t.co/Dc5xV35BNL",Russo-Ukrainian War,Marco Rubio,Republican
2353,DefenceHQ situation map additions red Putin continue desperately try seize control Western Kyiv Three axis group move deliberately seize control East Kyiv appear Axis Mykolaiv poise make dart deep Western Ukraine,4,marcorubio,red,2022-03-02,"The @DefenceHQ situation map with additions in red

#Putin continues to desperately try &amp; seize control of Western #Kyiv

Three axis groups moving more deliberately to seize control of East Kyiv

It appears Axis in #Mykolaiv poised to make dart deep into Western #Ukraine https://t.co/m6VfkGcdSs",Russo-Ukrainian War,Marco Rubio,Republican
2354,Putin send 200k troop will commit war crimes eventually take cities mean win invade take Kherson Mariupol Kharkiv invade turn Ukraine vassal state like Belarus NEVER happen,4,marcorubio,red,2022-03-02,"#Putin sent 200k troops &amp; is willing to commit war crimes,so eventually he’ll take some cities

But that doesn’t mean he is winning

He didn’t invade to take #Kherson #Mariupol or #Kharkiv

He invaded to turn #Ukraine into a vassal state like Belarus

And that will NEVER happen",Russo-Ukrainian War,Marco Rubio,Republican
2356,Putin win either costly military victory follow painful never end insurgency protract military quagmire DANGER point need escalate reset strategic balance West,4,marcorubio,red,2022-03-01,"#Putin can’t win 

This will either be a costly military victory followed by a painful never ending insurgency 

Or it will be a protracted military quagmire 

The DANGER is that at some point he will need to escalate to reset the strategic balance with the West https://t.co/VXLMFDJNBH",Russo-Ukrainian War,Marco Rubio,Republican
2357,best Putin achieve costly military victory worst find long painful quagmire NEVER able install puppet govt leave behind longer avoid severe economic crisis crimes bring upon Russia,4,marcorubio,red,2022-03-01,"At best #Putin will achieve a very costly military victory

At worst he will find himself in a long &amp; painful quagmire

But he will NEVER be able to install a puppet govt he can leave behind 

And he can no longer avoid the severe economic crisis his crimes brought upon #Russia",Russo-Ukrainian War,Marco Rubio,Republican
2358,DefenceHQ map help reveal Putin plan 1 Belarus axis push hard cut West Kyiv ASAP 2 Chernihiv Konostop Sumy axis move eventually cut East Kyiv 3 Mykolaiv axis eventually plunge deep Western Ukraine,4,marcorubio,red,2022-03-01,"This @DefenceHQ map helps reveal #Putin’s plan:

1. Belarus axis pushing hard to cut off West #Kyiv ASAP

2. Chernihiv,Konostop &amp; Sumy axis moving to eventually cut off East Kyiv

3. Mykolaiv axis will eventually plunge deep into Western #Ukraine https://t.co/3eaibgPphR",Russo-Ukrainian War,Marco Rubio,Republican
2359,Putin fight military Ukraine fight 40 millions people war never end never win,4,marcorubio,red,2022-03-01,"#Putin isn’t fighting just a military in #Ukraine

He is fighting over 40 millions people in a war that will never end and he can never win 

 https://t.co/HBoTswxFd4",Russo-Ukrainian War,Marco Rubio,Republican
2361,matter many cities Putin take never pacify 40 million Ukrainians provide weapons keep eliminate Russian occupiers leave help overthrow bring justice traitorous puppets Russia leave behind,4,marcorubio,red,2022-03-01,"No matter how many cities #Putin takes he will never pacify 40 million Ukrainians

We should provide them weapons to keep eliminating the Russian occupiers until they leave 

And then we should help them overthrow &amp; bring to justice the traitorous puppets #Russia leaves behind",Russo-Ukrainian War,Marco Rubio,Republican
2362,Maybe Putin take Kyiv NEVER conquer Ukraine fight military fight 40 million people stop kill Russia invaders go,4,marcorubio,red,2022-03-01,"Maybe #Putin takes #Kyiv, but he will NEVER conquer #Ukraine 

He isn’t just fighting against a military he is fighting against over 40 million people 

And they won’t stop killing #Russia’s invaders until all of them are gone
 https://t.co/cpNGAIasft",Russo-Ukrainian War,Marco Rubio,Republican
2363,matter happen Putin lose economy melt military continue suffer historic losses either drain long protract costly occupation leave behind puppet government Ukraine overthrow,4,marcorubio,red,2022-03-01,"No matter what happens #Putin loses

His economy is melting down

His military will continue to suffer historic losses 

And he will either be drained by a long protracted &amp; costly occupation or leave behind a puppet government #Ukraine will overthrow",Russo-Ukrainian War,Marco Rubio,Republican
2364,Russia movements provide insight plan encircle Kyiv mission Sumy Chernihiv eventually control east Kyiv move cautiously evade major resistance mission north ASAP control west Kyiv move far aggressively,4,marcorubio,red,2022-02-28,"#Russia movements provide insight into their plan to encircle #Kyiv

The mission from #Sumy &amp; #Chernihiv is to eventually control east Kyiv,moving cautiously to evade major resistance

The mission from north is ASAP control of west Kyiv,so they are moving far more aggressively",Russo-Ukrainian War,Marco Rubio,Republican
2366,DANGER Putin legitimacy build image strong leader restore Russia superpower disasters 90 economy shamble military humiliate tool reestablish power balance West cyber nuke,4,marcorubio,red,2022-02-28,"DANGER

#Putin’s legitimacy built on image as the strong leader who restored #Russia to superpower after the disasters of the 90’s

Now the economy is in shambles &amp; the military is being humiliated &amp; his only tools to reestablish power balance with the West is cyber &amp; nukes",Russo-Ukrainian War,Marco Rubio,Republican
2372,student loan college debt forgiveness term free choice among many options pursue career Thankfully America young people make lot money choose career require college degree bury debt,1,RepMTG,red,2022-10-27,"student loans for college that don’t have debt forgiveness terms &amp; are a free will choice among many options to pursue a career.

Thankfully in America, young people can make a lot of money by choosing other careers that don’t require a college degree and don’t bury them in debt.",Student Debt,Marjorie Taylor Greene,Republican
2423,Happy Birthday USMC 247 years Marines bravely defend nation SemperFi,12,MarshaBlackburn,red,2022-11-10,"Happy Birthday to the @USMC! 

For 247 years, the Marines have bravely defended our nation.

#SemperFi https://t.co/Zc2F2tgfe6",Congratulations,Marsha Blackburn,Republican
2431,Please join wish USNavy happy birthday men women Navy bravely keep us waterways safe 247 years uphold commitment put country self,12,MarshaBlackburn,red,2022-10-13,"Please join me in wishing the @USNavy a happy birthday! 

The men and women of our Navy have been bravely keeping us and our waterways safe for 247 years while upholding their commitment to put country before self. https://t.co/V23ajrjrol",Congratulations,Marsha Blackburn,Republican
2450,Thank men women military protect defend freedoms,9,MarshaBlackburn,red,2022-08-28,Thank you to the men and women of our military for protecting and defending our freedoms.,MemorialDay,Marsha Blackburn,Republican
2461,Firebrand_Pod Episode 76 LIVE Ban TikTok feat GavinWax Firebrand RepMattGaetz,8,RepMattGaetz,red,2022-11-18,"RT @Firebrand_Pod: Episode 76 LIVE: Ban TikTok (feat. @GavinWax) – Firebrand with @RepMattGaetz 

https://t.co/KQdzDcSeHJ",Firebrand,Matt Gaetz,Republican
2462,Firebrand_Pod Episode 75 LIVE Leadership Races Firebrand Matt Gaetz WATCH,8,RepMattGaetz,red,2022-11-17,"RT @Firebrand_Pod: Episode 75 LIVE: Leadership Races – Firebrand with Matt Gaetz

WATCH: https://t.co/lHrgdKMlLC",Firebrand,Matt Gaetz,Republican
2463,Episode 75 LIVE Leadership Races Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-11-16,Episode 75 LIVE: Leadership Races – Firebrand with Matt Gaetz https://t.co/w5ckLpZOMj,Firebrand,Matt Gaetz,Republican
2467,Firebrand_Pod Episode 74 LIVE McCarthy McConnell McDaniel McFailure Firebrand_Pod RepMattGaetz WATCH,8,RepMattGaetz,red,2022-11-11,"RT @Firebrand_Pod: Episode 74 LIVE: McCarthy, McConnell, McDaniel: #McFailure – @Firebrand_Pod with @RepMattGaetz

WATCH: https://t.co/DIxM…",Firebrand,Matt Gaetz,Republican
2468,Episode 74 LIVE McCarthy McConnell McDaniel McFailure feat Russ Vought Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-11-10,"Episode 74 LIVE: McCarthy, McConnell, McDaniel: McFailure (feat. Russ Vought) – Firebrand with Matt Gaetz https://t.co/j5dzJq2Hij",Firebrand,Matt Gaetz,Republican
2470,Happy 247th Birthday United States Navy USNavy,12,RepMattGaetz,red,2022-10-13,Happy 247th Birthday to the United States Navy! @USNavy https://t.co/4LF2kEY3XH,Congratulations,Matt Gaetz,Republican
2472,Episode 73 LIVE Inappropriations feat Mike Robertson Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-09-30,Episode 73 LIVE: Inappropriations (feat. Mike Robertson) – Firebrand with Matt Gaetz https://t.co/BcZeuUfzud,Firebrand,Matt Gaetz,Republican
2473,Episode 72 LIVE MAGA Agenda feat Dr. Sebastian Gorka Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-09-28,Episode 72 LIVE: The MAGA Agenda (feat. Dr. Sebastian Gorka) – Firebrand with Matt Gaetz https://t.co/Se4wX7qeZg,Firebrand,Matt Gaetz,Republican
2475,Firebrand_Pod Episode 71 LIVE Ray Epps Inquiry Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-09-22,"RT @Firebrand_Pod: Episode 71 LIVE: The Ray Epps Inquiry – Firebrand with Matt Gaetz

https://t.co/C48c0aPunh https://t.co/s6AlxkvesN",Firebrand,Matt Gaetz,Republican
2476,Episode 71 LIVE Ray Epps Inquiry Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-09-22,Episode 71 LIVE: The Ray Epps Inquiry – Firebrand with Matt Gaetz https://t.co/baEvBoPhAr,Firebrand,Matt Gaetz,Republican
2477,Episode 70 LIVE Pandemic Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-09-20,Episode 70 LIVE: The Pandemic Is Over – Firebrand with Matt Gaetz https://t.co/ccNYgxzA4n,Firebrand,Matt Gaetz,Republican
2478,Firebrand_Pod Episode 69 LIVE Congress Failing Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-09-17,"RT @Firebrand_Pod: Episode 69 LIVE: Congress Is Failing – Firebrand with Matt Gaetz

https://t.co/DWUZGlXF7A",Firebrand,Matt Gaetz,Republican
2479,Episode 69 LIVE Congress Failing Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-09-16,Episode 69 LIVE: Congress Is Failing – Firebrand with Matt Gaetz https://t.co/PjOK5hSLmD,Firebrand,Matt Gaetz,Republican
2480,Episode 68 LIVE Searched Seized feat Dr. Darren J. Beattie Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-09-15,Episode 68 LIVE: Searched &amp; Seized (feat. Dr. Darren J. Beattie) – Firebrand with Matt Gaetz https://t.co/EQEMDhDobK,Firebrand,Matt Gaetz,Republican
2484,Episode 67 LIVE Florida Rehab Shuffle Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-08-29,Episode 67 LIVE: The Florida Rehab Shuffle – Firebrand with Matt Gaetz https://t.co/cKq4xuUrKf,Firebrand,Matt Gaetz,Republican
2485,RealAmVoice RepMattGaetz Democrats admit Inflation Reduction Act actually reduce inflation “ American peop…,0,RepMattGaetz,red,2022-08-19,RT @RealAmVoice: .@RepMattGaetz on Democrats admitting the Inflation Reduction Act doesn’t actually reduce inflation: “As the American peop…,Abortion,Matt Gaetz,Republican
2487,Firebrand_Pod Episode 66 LIVE Agents Chaos feat Dr. DarrenJBeattie Firebrand RepMattGaetz,8,RepMattGaetz,red,2022-08-14,"RT @Firebrand_Pod: Episode 66 LIVE: Agents of Chaos (feat. Dr. @DarrenJBeattie) – Firebrand with @RepMattGaetz 

https://t.co/djxmO490c5",Firebrand,Matt Gaetz,Republican
2488,Episode 66 LIVE Agents Chaos feat Dr. Darren J. Beattie Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-08-12,Episode 66 LIVE: Agents of Chaos (feat. Dr. Darren J. Beattie) – Firebrand with Matt Gaetz https://t.co/0YdZ4LDuju,Firebrand,Matt Gaetz,Republican
2490,Firebrand_Pod Episode 65 LIVE Spy Games Firebrand Matt Gaetz,8,RepMattGaetz,red,2022-08-04,"RT @Firebrand_Pod: Episode 65 LIVE: Spy Games – Firebrand with Matt Gaetz
https://t.co/DTJAQVF0j6",Firebrand,Matt Gaetz,Republican
